"GL Year","Town Code","Town Name","100 Residential ","200 Commercial","250 Income and Expense Penalties","300 Industrial","400 Public Utility ","500 Vacant Land","600 Land Use","700 Ten Mill Land","800 Apartment","Total Real Property","Exemptions","Net Real Property","Motor Vehicle","Motor Vehicle Exemption","Total Net Motor Vehicle","Personal Property","Personal Property Exemptions","Net Personal Property ","Total Net Grand List"
"2024","1","Andover","251,531,722","7,762,965","0","1,123,010","763,630","3,960,530","952,900","0","1,995,490","268,090,247","1,840,070","266,250,177","36,953,379","1,284,710","35,668,669","15,696,584","969,350","14,727,234","316,646,080"
"2023","1","Andover","250,749,262","7,762,965","0","1,123,010","763,630","3,980,550","955,220","0","1,995,490","267,330,127","816,350","266,513,777","39,460,920","1,302,770","38,158,150","15,826,631","965,250","14,861,381","319,533,308"
"2022","1","Andover","248,684,542","7,433,125","0","1,123,010","763,630","3,988,110","954,280","0","1,995,490","264,942,187","751,350","264,190,837","41,485,580","1,507,190","39,978,390","14,841,809","588,740","14,253,069","318,422,296"
"2021","1","Andover","247,190,752","5,920,950","0","1,123,010","763,630","4,146,310","960,190","0","1,995,490","262,100,332","804,000","261,296,332","38,845,850","1,531,390","37,314,460","12,140,549","490,940","11,649,609","310,260,401"
"2020","1","Andover","215,590,010","5,079,100","0","1,067,700","771,000","4,808,100","615,450","0","1,796,400","229,727,760","832,500","228,895,260","31,855,030","1,232,280","30,622,750","12,460,022","409,300","12,050,722","271,568,732"
"2019","1","Andover","213,755,763","5,072,300","0","1,067,700","771,000","4,930,000","614,410","0","1,796,400","228,007,573","763,000","227,244,573","29,477,445","1,190,480","28,286,965","10,909,098","418,920","10,490,178","266,021,716"
"2018","1","Andover","212,219,230","5,072,300",,"1,067,700","771,000","5,363,900","610,070","0","1,796,400","226,900,600","586,000","226,314,600","28,736,750","844,560","27,892,190","9,636,507","475,030","9,161,477","263,368,267"
"2017","1","Andover","211,103,370","5,076,730",,"1,067,700","771,000","5,441,300","633,560","0","1,796,400","225,890,060","879,000","225,011,060","28,678,849","932,940","27,745,909","7,446,428","487,440","6,958,988","259,715,957"
"2016","1","Andover","209,361,600","5,074,730",,"1,067,700","771,000","5,481,400","630,260","0","1,796,400","224,183,090","909,000","223,274,090","27,860,360","873,090","26,987,270","7,278,645","499,610","6,779,035","257,040,395"
"2015","1","Andover","219,437,190","4,504,300",,"1,068,300","616,800","5,312,220","633,040","0","1,536,000","233,107,850","1,076,900","232,030,950","27,900,970","970,290","26,930,680","7,196,630","495,030","6,701,600","265,663,230"
"2014","1","Andover","218,476,090","4,504,300",,"1,068,300","616,800","5,459,860","633,900","0","1,536,000","232,295,250","925,900","231,369,350","26,021,170","614,810","25,406,360","6,913,015","554,820","6,358,195","263,133,905"
"2013","1","Andover","216,902,490","4,509,200",,"1,068,300","616,800","5,715,260","628,920","0","1,536,000","230,976,970","1,175,900","229,801,070","25,717,580","699,920","25,017,660","6,457,505","456,470","6,001,035","260,819,765"
"2012","1","Andover","215,588,190","4,491,500",,"1,068,300","616,800","5,918,100","636,120","0","1,670,500","229,989,510","980,000","229,009,510","24,650,100","401,980","24,248,120","6,215,295","478,480","5,736,815",
"2011","1","Andover","214,676,688","4,696,400",,"1,068,300","616,800","6,133,800","636,120",,"1,536,000","229,364,108","1,012,500","228,351,608","24,721,366","460,480","24,260,886","6,260,773","366,994","5,893,779","258,506,273"
"2024","2","Ansonia","1,040,706,970","96,719,570","0","23,304,450","0","7,999,390","47,350","0","29,339,870","1,198,117,600","6,618,710","1,191,498,890","135,432,750","2,579,080","132,853,670","109,499,634","11,455,320","98,044,314","1,422,396,874"
"2023","2","Ansonia","1,036,353,200","102,706,030","0","26,651,530","0","8,013,390","47,350","0","27,890,990","1,201,662,490","4,379,950","1,197,282,540","144,386,975","2,167,310","142,219,665","97,785,710","10,750,840","87,034,870","1,426,537,075"
"2022","2","Ansonia","1,032,670,610","103,961,210","0","27,267,250","0","7,797,720","47,630","0","27,461,190","1,199,205,610","4,501,700","1,194,703,910","153,075,795","1,745,030","151,330,765","95,288,313","10,837,624","84,450,689","1,430,485,364"
"2021","2","Ansonia","711,542,340","56,126,757","1,909,080","63,045,733","34,000","10,922,200","42,410","0","5,966,510","847,679,950","7,889,200","839,790,750","140,820,665","1,644,810","139,175,855","86,552,662","11,536,156","75,016,506","1,053,983,111"
"2020","2","Ansonia","713,941,070","89,138,073","0","21,767,800","34,000","0","2,580","114,830","18,074,600","843,072,953","7,907,360","835,165,593","108,157,760","2,320,980","105,836,780","70,888,858","10,419,731","60,469,127","1,001,471,500"
"2019","2","Ansonia","712,537,180","87,561,273","1842402","21,741,000","34,000","0","2,580","117,630","18,074,800","840,068,463","5,989,310","834,079,153","102,819,870","2,184,530","100,635,340","67,945,535","4,940,360","63,005,175","997,719,668"
"2018","2","Ansonia","712,367,550","92,810,840",,"21,741,000","34,000","0","2,580","117,630","15,477,690","842,551,290","4,137,560","838,413,730","100,199,440","1,450,140","98,749,300","60,498,483","6,375,670","54,122,813","991,285,843"
"2017","2","Ansonia","709,613,056","88,420,540",,"22,900,600","34,000","0","2,580","117,630","18,093,800","839,182,206","6,976,270","832,205,936","101,051,280","2,274,850","98,776,430","56,506,555","5,336,800","51,169,755","982,152,121"
"2016","2","Ansonia","652,300,052","75,151,420",,"19,702,800","33,000","0","3,580","115,880","15,401,400","762,708,132","6,690,320","756,017,812","97,779,855","951,000","96,828,855","54,371,920","6,411,052","47,960,868","900,807,535"
"2015","2","Ansonia","650,979,252","74,909,020",,"15,489,600","33,000","0","3,580","115,880","15,401,400","756,931,732","3,801,231","753,130,501","97,798,377","955,430","96,842,947","51,870,787","4,277,288","47,593,499","897,566,947"
"2014","2","Ansonia","651,067,550","77,873,840",,"15,386,600","33,000","0","3,180","115,880","15,401,400","759,881,450","5,353,402","754,528,048","93,149,741","1,413,030","91,736,711","52,161,942","4,327,716","47,834,226","894,098,985"
"2013","2","Ansonia","650,902,550","78,406,900",,"15,386,600","33,000","0","3,180","115,880","15,401,400","760,249,510","5,875,149","754,374,361","92,679,667","1,238,872","91,440,795","50,680,465","3,998,170","46,682,295","892,497,451"
"2012","2","Ansonia","650,539,000","80,310,300",,"15,324,500","33,000","0","3,180","99,830","15,706,400","762,016,210","6,512,480","755,503,730","92,401,747","1,159,460","91,242,287","49,728,234","3,800,640","45,927,594",
"2011","2","Ansonia","909,108,600","104,086,000",,"20,006,500","333,600","0","3,180","121,115","16,936,400","1,050,595,395","6,700,936","1,043,894,459","90,916,888","1,051,908","89,864,980","44,521,036","3,786,830","40,734,206","1,174,493,645"
"2024","3","Ashford","274,302,400","13,920,730","0","1,597,020","46,340","6,920,190","4,097,970","26,460","11,738,020","312,649,130","2,888,520","309,760,610","39,999,090","338,500","39,660,590","20,690,070","2,402,475","18,287,595","367,708,795"
"2023","3","Ashford","273,664,100","13,533,350","0","1,597,020","46,340","7,086,520","4,105,210","26,460","11,738,020","311,797,020","1,538,012","310,259,008","44,632,572","1,299,590","43,332,982","18,758,861","2,045,817","16,713,044","370,305,034"
"2022","3","Ashford","272,864,890","13,532,720","0","1,597,020","46,340","7,062,300","4,117,380","26,460","11,738,020","310,985,130","1,555,412","309,429,718","46,505,230","1,261,280","45,243,950","16,463,090","1,778,669","14,684,421","369,358,089"
"2021","3","Ashford","271,556,890","13,555,370","0","1,597,030","46,340","7,171,110","4,145,250","26,460","11,738,020","309,836,470","1,360,410","308,476,060","44,100,317","1,073,890","43,026,427","16,267,320","2,078,712","14,188,608","365,691,095"
"2020","3","Ashford","228,230,311","12,171,100","0","1,512,290","30,200","8,058,040","3,671,410","9,710","8,173,480","261,856,541","1,273,637","260,582,904","34,216,670","311,850","33,904,820","15,668,300","2,117,867","13,550,433","308,038,157"
"2019","3","Ashford","226,603,185","14,582,566","0","0","0","6,675,700","3,929,870","9,700","9,056,600","260,857,621","1,218,590","259,639,031","34,010,687","1,228,090","32,782,597","14,988,718","1,816,179","13,172,539","305,594,167"
"2018","3","Ashford","226,317,495","14,918,446",,"0","0","6,692,880","3,938,590","9,700","9,056,600","260,933,711","1,197,260","259,736,451","32,981,365","1,059,890","31,921,475","14,094,490","1,959,282","12,135,208","303,793,134"
"2017","3","Ashford","225,341,450","14,552,646",,"0","0","7,261,200","4,258,750","9,700","9,381,400","260,805,146","1,115,360","259,689,786","31,898,635","1,093,020","30,805,615","12,889,700","2,132,877","10,756,823","301,252,224"
"2016","3","Ashford","224,755,100","13,347,346",,"0","0","7,201,200","4,370,470","9,700","9,056,600","258,740,416","1,107,830","257,632,586","31,189,350","944,860","30,244,490","11,176,730","1,883,540","9,293,190","297,170,266"
"2015","3","Ashford","226,847,595","12,750,100",,"0","0","8,996,500","3,113,930","9,700","9,243,700","260,961,525","1,203,175","259,758,350","31,023,780","935,540","30,088,240","10,506,713","1,676,780","8,829,933","298,676,523"
"2014","3","Ashford","226,036,400","12,739,600",,"0","0","9,651,200","3,081,280","9,700","9,243,600","260,761,780","1,187,575","259,574,205","30,460,517","892,060","29,568,457","9,516,424","1,192,382","8,324,042","297,466,704"
"2013","3","Ashford","224,709,300","12,664,800",,"0","0","10,252,600","3,079,110","9,700","9,243,600","259,959,110","1,017,175","258,941,935","30,117,490","963,740","29,153,750","8,821,111","664,907","8,156,204","296,251,889"
"2012","3","Ashford","224,539,000","12,664,300",,"0","0","10,648,300","3,049,330","9,700","9,291,200","260,201,830","642,575","259,559,255","29,627,470","1,015,410","28,612,060","7,779,493","574,664","7,204,829",
"2011","3","Ashford","223,581,000","12,745,100",,"0","0","10,916,400","3,101,150","9,700","9,291,200","259,644,550","594,025","259,050,525","29,897,442","994,722","28,902,720","7,562,877","585,942","6,976,935","294,930,180"
"2024","4","Avon","2,508,496,547","315,473,274","0","10,230,660","466,970","4,691,140","298,520","0","35,714,500","2,875,371,611","11,065,390","2,864,306,221","237,052,800","2,756,270","234,296,530","144,639,090","19,846,160","124,792,930","3,223,395,681"
"2023","4","Avon","2,501,927,147","342,556,664","0","10,172,210","466,970","4,577,920","298,520","0","5,900,830","2,865,900,261","4,490,060","2,861,410,201","234,188,105","808,250","233,379,855","140,376,510","20,669,930","119,706,580","3,214,496,636"
"2022","4","Avon","1,982,027,771","313,825,865","0","11,899,740","409,210","4,341,050","225,180","0","14,968,370","2,327,697,186","4,344,870","2,323,352,316","253,576,800","781,240","252,795,560","133,848,070","21,511,640","112,336,430","2,688,484,306"
"2021","4","Avon","1,975,335,184","315,918,549","0","11,872,790","409,210","4,340,600","225,180","0","14,968,370","2,323,069,883","4,378,750","2,318,691,133","240,840,750","839,020","240,001,730","130,858,630","21,778,946","109,079,684","2,667,772,547"
"2020","4","Avon","1,968,732,254","309,448,438","0","11,872,790","409,210","4,262,600","225,180","0","14,968,370","2,309,918,842","3,914,080","2,306,004,762","192,837,480","633,800","192,203,680","123,716,060","21,291,470","102,424,590","2,600,633,032"
"2019","4","Avon","1,963,351,174","303,170,138","0","11,872,790","409,210","4,152,870","225,180","0","14,310,370","2,297,491,732","3,729,880","2,293,761,852","181,314,800","599,840","180,714,960","118,844,920","20,352,940","98,491,980","2,572,968,792"
"2018","4","Avon","1,945,152,118","315,439,558",,"12,484,440","409,210","4,356,250","225,180","0","14,310,370","2,292,377,126","3,815,650","2,288,561,476","181,373,190","559,850","180,813,340","116,619,390","26,651,070","89,968,320","2,559,343,136"
"2017","4","Avon","2,025,040,180","267,599,700",,"20,528,890","322,590","4,564,340","228,820","0","36,421,010","2,354,705,530","3,929,390","2,350,776,140","176,405,670","646,340","175,759,330","114,748,700","25,698,610","89,050,090","2,615,585,560"
"2016","4","Avon","2,017,309,890","265,305,700",,"23,907,100","322,590","4,452,550","228,820","0","36,421,010","2,347,947,660","4,089,950","2,343,857,710","179,338,480","792,680","178,545,800","116,059,450","26,653,020","89,406,430","2,611,809,940"
"2015","4","Avon","2,004,580,000","293,802,940",,"30,676,870","322,590","4,686,140","250,140","0","0","2,334,318,680","4,195,730","2,330,122,950","177,166,380","921,950","176,244,430","111,512,650","25,177,200","86,335,450","2,592,702,830"
"2014","4","Avon","1,991,936,290","291,419,810",,"31,777,800","322,590","4,663,850","250,140","0","0","2,320,370,480","4,276,700","2,316,093,780","179,033,480","890,780","178,142,700","106,025,720","22,463,950","83,561,770","2,577,798,250"
"2013","4","Avon","1,974,718,400","260,647,440",,"32,007,780","322,590","4,635,590","258,670","0","32,453,520","2,305,043,990","4,345,060","2,300,698,930","176,632,170","856,670","175,775,500","97,338,470","14,732,370","82,606,100","2,559,080,530"
"2012","4","Avon","2,120,567,910","252,394,710",,"28,765,510","340,090","5,135,400","254,600","0","37,355,920","2,444,814,140","4,332,630","2,440,481,510","170,386,470","851,680","169,534,790","92,975,560","14,165,240","78,810,320",
"2011","4","Avon","2,103,432,480","248,700,780",,"28,467,040","340,090","5,265,470","242,710",,"37,355,920","2,423,804,490","4,946,860","2,418,857,630","174,465,250","827,060","173,638,190","90,912,010","15,301,040","75,610,970","2,668,106,790"
"2024","5","Barkhamsted","381,578,290","14,498,860","0","6,238,470","0","2,994,290","36,509,410","0","2,883,660","444,702,980","3,338,280","441,364,700","38,304,609","1,046,720","37,257,889","19,823,420","4,689,540","15,133,880","493,756,469"
"2023","5","Barkhamsted","376,436,490","14,682,050","96,105","6,246,870","0","2,888,290","36,487,670","0","2,883,660","439,625,030","1,127,270","438,497,760","44,179,668","1,123,160","43,056,508","18,908,860","4,731,396","14,177,464","495,731,732"
"2022","5","Barkhamsted","259,541,470","11,291,690","91,680","4,860,810","0","2,840,830","34,887,030","0","2,191,150","315,612,980","1,135,510","314,477,470","45,953,979","1,082,470","44,871,509","17,705,450","4,106,876","13,598,574","372,947,553"
"2021","5","Barkhamsted","256,746,800","11,768,790","83,403","4,999,980","0","2,840,830","34,848,820","0","2,191,150","313,396,370","1,146,010","312,250,360","44,706,545","1,053,280","43,653,265","17,572,130","4,037,087","13,535,043","369,438,668"
"2020","5","Barkhamsted","255,528,240","11,966,480","0","4,999,980","0","2,840,840","34,869,970","0","2,191,150","312,396,660","1,099,010","311,297,650","37,289,459","1,031,640","36,257,819","17,572,930","4,172,467","13,400,463","360,955,932"
"2019","5","Barkhamsted","254,628,540","12,137,080","0","5,000,030","0","2,891,450","34,915,270","0","2,177,660","311,750,030","1,116,110","310,633,920","35,136,692","1,128,265","34,008,427","17,760,290","4,561,370","13,198,920","357,841,267"
"2018","5","Barkhamsted","254,256,760","12,121,140",,"4,995,950","0","2,845,190","34,904,350","0","2,177,660","311,301,050","1,087,610","310,213,440","33,533,982","411,300","33,122,682","17,791,100","4,528,890","13,262,210","356,598,332"
"2017","5","Barkhamsted","252,028,120","11,308,890",,"4,550,620","0","2,514,330","33,881,420","0","2,173,380","306,456,760","1,094,860","305,361,900","33,266,630","370,950","32,895,680","18,983,490","4,764,710","14,218,780","352,476,360"
"2016","5","Barkhamsted","250,805,400","10,932,720",,"4,526,300","0","2,492,630","33,911,710","0","2,173,380","304,842,140","1,055,130","303,787,010","32,758,720","413,110","32,345,610","15,813,650","4,645,610","11,168,040","347,300,660"
"2015","5","Barkhamsted","249,466,790","11,949,230",,"4,330,230","0","2,726,010","33,911,400","0","2,173,380","304,557,040","1,074,420","303,482,620","32,443,010","418,930","32,024,080","16,657,480","5,052,340","11,605,140","347,111,840"
"2014","5","Barkhamsted","247,280,800","11,609,100",,"4,330,230","0","2,774,960","33,894,940","0","2,173,380","302,063,410","1,036,790","301,026,620","30,770,930","548,900","30,222,030","15,101,505","4,650,190","10,451,315","341,699,965"
"2013","5","Barkhamsted","245,506,450","11,609,096",,"4,324,720","0","2,726,010","33,858,540","0","2,173,380","300,198,196","1,022,790","299,175,406","30,788,295","542,410","30,245,885","14,191,881","4,529,460","9,662,421","339,083,712"
"2012","5","Barkhamsted","279,421,500","13,167,950",,"4,331,720","0","3,339,860","33,648,270","0","2,132,050","336,041,350","1,033,290","335,008,060","30,928,180","568,610","30,359,570","13,042,442","3,527,510","9,514,932",
"2011","5","Barkhamsted","278,853,500","13,118,390",,"4,331,720",,"3,339,860","32,055,170",,"2,132,050","333,830,690","1,068,790","332,761,900","30,788,799","753,250","30,035,549","14,710,187","3,365,640","11,344,547","374,141,996"
"2024","6","Beacon Falls","478,562,791","12,614,880","0","37,730,910","305,720","9,665,340","613,149","0","1,187,400","540,680,190","3,930,680","536,749,510","67,076,720","213,510","66,863,210","47,868,235","11,338,451","36,529,784","640,142,504"
"2023","6","Beacon Falls","476,488,390","12,784,330","0","37,730,910","305,720","9,616,730","606,120","0","1,187,400","538,719,600","3,417,560","535,302,040","68,630,920","185,000","68,445,920","48,783,768","11,758,290","37,025,478","640,773,438"
"2022","6","Beacon Falls","469,910,900","13,690,780","0","37,208,200","305,720","9,479,920","545,910","0","1,187,400","532,328,830","3,423,788","528,905,042","70,990,360","221,740","70,768,620","47,783,542","12,196,840","35,586,702","635,260,364"
"2021","6","Beacon Falls","458,439,020","14,363,090","0","37,214,340","305,720","9,669,250","547,150","0","1,187,400","521,725,970","3,537,278","518,188,692","67,560,150","353,930","67,206,220","44,362,442","12,846,342","31,516,100","616,911,012"
"2020","6","Beacon Falls","366,390,190","12,532,500","0","31,776,860","295,530","9,493,300","282,570","0","845,820","421,616,770","3,259,890","418,356,880","53,070,660","466,380","52,604,280","37,700,559","4,814,245","32,886,314","503,847,474"
"2019","6","Beacon Falls","360,690,150","12,878,500","0","31,776,860","295,530","9,897,430","282,570","0","845,820","416,666,860","4,184,048","412,482,812","49,192,750","332,500","48,860,250","33,164,742","5,036,502","28,128,240","489,471,302"
"2018","6","Beacon Falls","353,840,010","13,224,510",,"31,776,860","295,530","9,942,970","282,090","0","845,820","410,207,790","3,235,154","406,972,636","47,006,605","294,310","46,712,295","29,165,594","3,926,734","25,238,860","478,923,791"
"2017","6","Beacon Falls","348,563,170","13,528,150",,"32,056,150","295,530","10,340,650","282,090","0","845,820","405,911,560","3,137,464","402,774,096","45,328,690","293,300","45,035,390","29,155,262","4,005,392","25,149,870","472,959,356"
"2016","6","Beacon Falls","340,962,980","14,590,480",,"32,249,900","295,530","11,033,820","283,490","0","0","399,416,200","4,146,418","395,269,782","45,258,850","337,270","44,921,580","28,776,657","4,635,108","24,141,549","464,332,911"
"2015","6","Beacon Falls","367,739,180","13,686,680",,"30,709,230","313,640","12,881,390","195,880","0","732,140","426,258,140","3,328,140","422,930,000","43,457,090","377,900","43,079,190","27,499,219","3,997,773","23,501,446","489,510,636"
"2014","6","Beacon Falls","361,673,820","13,966,680",,"30,729,280","313,640","12,384,260","195,420","0","732,140","419,995,240","3,392,300","416,602,940","42,395,070","397,260","41,997,810","23,378,887","2,758,049","20,620,838","479,221,588"
"2013","6","Beacon Falls","358,406,410","14,013,620",,"30,697,430","313,640","13,336,720","177,810","0","732,140","417,677,770","3,286,346","414,391,424","42,061,090","329,920","41,731,170","21,384,974","2,502,984","18,881,990","475,004,584"
"2012","6","Beacon Falls","357,510,880","14,471,860",,"30,697,430","313,640","13,372,530","175,300","0","732,140","417,273,780","3,150,416","414,123,364","40,894,420","417,800","40,476,620","20,246,218","2,388,240","17,857,978",
"2011","6","Beacon Falls","357,409,820","14,544,290",,"30,697,430","313,640","13,442,490","178,340",,,"416,586,010","4,047,858","412,538,152","41,007,660","367,110","40,640,550","20,463,570","2,129,638","18,333,932","471,512,634"
"2024","7","Berlin","1,835,637,981","330,284,071","0","160,143,950","3,895,200","35,793,342","980,630","0","300,000","2,367,035,174","17,253,064","2,349,782,110","275,576,168","1,954,150","273,622,018","513,105,415","93,501,720","419,603,695","3,043,007,823"
"2023","7","Berlin","1,823,770,593","327,301,408","0","159,601,650","3,895,200","36,457,442","1,004,390","0","133,100","2,352,163,783","11,512,886","2,340,650,897","296,071,207","10,024,540","286,046,667","443,872,870","111,782,345","332,090,525","2,958,788,089"
"2022","7","Berlin","1,813,456,079","316,473,352","0","160,822,900","3,895,200","36,006,554","1,062,152","0","133,100","2,331,849,337","10,243,309","2,321,606,028","312,389,540","10,675,160","301,714,380","389,843,664","121,435,370","268,408,294","2,891,728,702"
"2021","7","Berlin","1,480,014,705","274,877,701","0","136,474,180","3,669,600","34,891,284","804,319","0","79,000","1,930,810,789","9,466,295","1,921,344,494","298,262,101","10,911,970","287,350,131","358,308,162","109,353,990","248,954,172","2,457,648,797"
"2020","7","Berlin","1,470,004,399","271,225,451","0","137,168,340","3,669,600","36,010,264","802,261","0","79,000","1,918,959,315","5,760,887","1,913,198,428","237,941,301","9,733,690","228,207,611","359,696,689","117,738,005","241,958,684","2,383,364,723"
"2019","7","Berlin","1,460,177,632","294,096,141","0","137,893,740","3,669,600","34,743,694","807,909","0","79,000","1,931,467,716","9,194,077","1,922,273,639","224,798,755","11,637,910","213,160,845","347,310,555","111,597,470","235,713,085","2,371,147,569"
"2018","7","Berlin","1,453,027,330","297,279,397",,"136,839,995","3,669,600","34,655,484","803,542","0","79,000","1,926,354,348","6,775,977","1,919,578,371","219,518,050","10,683,400","208,834,650","311,943,865","106,139,960","205,803,905","2,334,216,926"
"2017","7","Berlin","1,453,726,842","297,671,887",,"136,083,510","3,717,400","33,610,874","777,020","0","79,000","1,925,666,533","6,678,687","1,918,987,846","215,479,565","8,315,040","207,164,525","289,305,162","90,372,660","198,932,502","2,325,084,873"
"2016","7","Berlin","1,412,072,105","261,836,687",,"124,543,860","2,999,400","33,509,032","779,481","0","105,600","1,835,846,165","6,743,687","1,829,102,478","202,779,980","10,698,310","192,081,670","269,028,747","76,992,150","192,036,597","2,213,220,745"
"2015","7","Berlin","1,402,762,756","258,785,007",,"123,753,260","2,999,400","33,391,732","788,328","0","105,600","1,822,586,083","6,028,075","1,816,558,008","202,018,905","7,412,620","194,606,285","256,107,817","72,556,040","183,551,777","2,194,716,070"
"2014","7","Berlin","1,396,488,500","255,435,130",,"123,001,020","3,005,200","24,421,450","11,127,800","0","168,100","1,813,647,200","4,250,927","1,809,396,273","202,278,140","13,897,740","188,380,400","247,327,635","67,949,480","179,378,155","2,177,154,828"
"2013","7","Berlin","1,386,430,380","254,873,460",,"122,550,260","3,005,200","25,562,750","10,853,450","0","168,100","1,803,443,600","5,568,297","1,797,875,303","197,207,800","14,856,540","182,351,260","263,999,810","58,096,890","205,902,920","2,186,129,483"
"2012","7","Berlin","1,373,260,650","258,191,950",,"122,400,200","3,005,200","26,438,860","10,615,240","0","0","1,793,912,100","10,203,432","1,783,708,668","194,507,770","6,489,677","188,018,093","244,386,230","60,455,240","183,930,990",
"2011","7","Berlin","1,534,224,240","284,808,180",,"138,882,600","3,468,400","34,178,210","11,086,560","884,280",,"2,007,532,470","11,264,068","1,996,268,402","191,601,270","11,923,310","179,677,960","232,799,460","57,119,040","175,680,420","2,351,626,782"
"2024","8","Bethany","653,497,305","25,978,580","0","14,034,110","0","200,900","597,940","0","274,530","694,583,365","3,948,000","690,635,365","68,143,267","496,460","67,646,807","36,083,845","5,932,810","30,151,035","788,433,207"
"2023","8","Bethany","650,470,390","26,233,330","0","14,034,110","0","200,900","610,950","0","274,530","691,824,210","1,209,420","690,614,790","70,302,623","412,970","69,889,653","35,459,626","2,280,686","33,178,940","793,683,383"
"2022","8","Bethany","473,578,670","23,654,410","0","13,831,990","0","179,830","372,540","0","223,660","511,841,100","1,087,480","510,753,620","73,418,990","679,410","72,739,580","33,778,052","4,578,865","29,199,187","612,692,387"
"2021","8","Bethany","470,181,320","22,408,720","0","12,855,770","0","179,830","363,510","0","223,660","506,212,810","1,167,680","505,045,130","68,504,532","760,950","67,743,582","30,754,612","5,167,845","25,586,767","598,375,479"
"2020","8","Bethany","466,842,140","22,351,370","0","12,855,770","0","179,830","372,380","0","223,660","502,825,150","1,195,755","501,629,395","54,980,823","497,200","54,483,623","31,597,113","4,292,580","27,304,533","583,417,551"
"2019","8","Bethany","463,590,690","21,852,530","0","12,698,710","0","179,830","372,640","0","223,660","498,918,060","1,959,075","496,958,985","51,935,800","305,010","51,630,790","25,696,342","4,177,592","21,518,750","570,108,525"
"2018","8","Bethany","460,862,600","21,794,190",,"12,630,600","0","179,830","368,530","0","223,660","496,059,410","1,374,286","494,685,124","50,078,258","294,310","49,783,948","23,455,228","4,003,308","19,451,920","563,920,992"
"2017","8","Bethany","456,708,480","26,398,150",,"4,819,710","0","3,306,850","230,430","0","281,380","491,745,000","1,481,150","490,263,850","49,030,130","122,860","48,907,270","22,094,105","3,321,325","18,772,780","557,943,900"
"2016","8","Bethany","454,798,690","25,359,890",,"4,823,090","0","3,340,890","237,740","0","281,380","488,841,680","1,586,150","487,255,530","48,431,120","233,870","48,197,250","21,637,121","3,226,471","18,410,650","553,863,430"
"2015","8","Bethany","454,281,830","25,185,480",,"4,823,090","0","3,241,460","242,410","0","281,380","488,055,650","1,655,800","486,399,850","48,165,323","214,380","47,950,943","21,850,144","3,179,939","18,670,205","553,020,998"
"2014","8","Bethany","453,798,790","24,916,730",,"4,823,080","0","3,343,310","243,170","0","281,380","487,406,460","1,774,355","485,632,105","47,043,520","70,870","46,972,650","21,878,936","3,177,520","18,701,416","551,306,171"
"2013","8","Bethany","452,954,760","24,959,070",,"4,823,080","0","3,319,640","242,590","0","311,720","486,610,860","1,974,115","484,636,745","45,787,505","176,885","45,610,620","22,264,970","3,275,930","18,989,040","549,236,405"
"2012","8","Bethany","517,687,490","14,328,070",,"19,740,920","0","6,987,720","221,490","0","0","558,965,690","3,404,205","555,561,485","45,148,221","266,141","44,882,080","23,058,090","3,334,892","19,723,198",
"2011","8","Bethany","517,012,400","14,671,490",,"19,591,290",,"7,059,290","225,700",,,"558,560,170","4,928,990","553,631,180","45,999,669","327,387","45,672,282","23,652,578","3,476,390","20,176,188","619,479,650"
"2024","9","Bethel","1,989,147,560","218,450,930","0","82,386,500","1,950,970","23,825,800","7,219,680","0","57,195,740","2,380,177,180","7,479,260","2,372,697,920","216,998,520","1,388,700","215,609,820","232,767,140","44,017,000","188,750,140","2,777,057,880"
"2023","9","Bethel","1,973,257,720","216,417,640","0","82,045,110","1,950,970","24,708,920","7,746,130","0","48,594,770","2,354,721,260","5,286,410","2,349,434,850","225,442,660","1,627,660","223,815,000","230,611,730","44,555,950","186,055,780","2,759,305,630"
"2022","9","Bethel","1,964,298,360","216,817,550","0","82,418,210","1,950,970","28,785,020","7,663,810","0","38,342,920","2,340,276,840","3,929,730","2,336,347,110","234,899,610","2,028,670","232,870,940","213,516,310","44,146,350","169,369,960","2,738,588,010"
"2021","9","Bethel","1,443,806,970","202,471,850","1,749,360","72,670,350","1,694,140","31,864,140","6,141,120","0","30,976,260","1,789,624,830","3,457,650","1,786,167,180","215,016,780","570,380","214,446,400","213,219,870","44,781,690","168,438,180","2,169,051,760"
"2020","9","Bethel","1,421,974,740","204,599,920","0","72,622,050","1,694,140","32,097,030","6,246,760","0","30,561,440","1,769,796,080","3,382,390","1,766,413,690","166,896,540","360,480","166,536,060","203,533,530","36,754,960","166,778,570","2,099,728,320"
"2019","9","Bethel","1,400,571,610","212,478,910","0","72,856,760","1,694,140","32,326,980","6,560,950","0","27,112,050","1,753,601,400","3,658,250","1,749,943,150","160,036,230","642,220","159,394,010","196,174,270","36,258,240","159,916,030","2,069,253,190"
"2018","9","Bethel","1,382,647,260","213,297,210",,"73,840,330","1,694,140","32,464,390","6,565,170","0","25,901,820","1,736,410,320","3,976,700","1,732,433,620","151,667,270","578,890","151,088,380","184,957,170","28,700,620","156,256,550","2,039,778,550"
"2017","9","Bethel","1,363,247,590","213,591,460",,"74,180,710","1,694,140","34,354,280","6,853,970","0","25,000,360","1,718,922,510","4,179,150","1,714,743,360","147,540,335","565,650","146,974,685","169,477,180","25,238,300","144,238,880","2,005,956,925"
